Brand Name,Name of the Product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
JUAREZ,Juârez Acoustic Guitar,"2,503",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Juarez-Acoustic-Guitar-Cutaway-JRZ38CT/dp/B01N3TTYJQ/ref=sr_1_51?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909410&sprefix=guiter%2Caps%2C678&sr=8-51
JUAREZ,Juarez 41 Inch Acoustic Guitar Kit with Truss Rod,"4,020",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Acoustic-Strings-Rosette-Rosewood-Fretboard/dp/B09FPQX7RN/ref=sr_1_52?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909410&sprefix=guiter%2Caps%2C678&sr=8-52
JUAREZ,Juârez JRZ38C/WH 6 Strings Acoustic Guitar 38 Inch Cutaway,"2,650",7 days Replacement,"Sunday, 14 May",In stock,https://www.amazon.in/Ju%C3%A2rez-JRZ38C-WH-Strings-Acoustic/dp/B072MFK4L6/ref=sr_1_53?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909410&sprefix=guiter%2Caps%2C678&sr=8-53
Kadence,"Medellin 38"" Acoustic Guitar premium wood with adjustable Truss-rod","2,499",7 days Returnable,"Wednesday, 17 May",In stock,https://www.amazon.in/Medellin-Acoustic-adjustable-Truss-rod-learning/dp/B0BRPZMPYN/ref=sr_1_54?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909410&sprefix=guiter%2Caps%2C678&sr=8-54
JUAREZ,Juarez JRZ-ST02 6-String 38 Inches Wood Electric Guitar,"5,749",7 days Replacement,"Sunday, 14 May",In stock,https://www.amazon.in/Juarez-JRZ-ST01-6-String-Electric-Without/dp/B01FYZSOHG/ref=sr_1_55?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909410&sprefix=guiter%2Caps%2C678&sr=8-55
Blueberry,Blueberry VIP 405,"4,590",7 days Returnable,"Monday, 15 May",In stock,https://www.amazon.in/Blueberry-VIP-405-Cutaway-Acoustic/dp/B0BVZBL1VJ/ref=sr_1_56?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909410&sprefix=guiter%2Caps%2C678&sr=8-56
Kadence,Kadence 40 Incheses Frontier Series,"5,499",7 days Replacement,"Sunday, 14 May",In stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Strings/dp/B07T48VTZ1/ref=sr_1_57?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909410&sprefix=guiter%2Caps%2C678&sr=8-57
YAMAHA,Yamaha F Series FSX315C Concert Cutaway Acoustic-Electric Guitar - Natural,"18,899",7 days Replacement,"Monday, 15 May",In stock,https://www.amazon.in/Yamaha-FSX315C-Concert-Cutaway-Acoustic-Electric/dp/B00H576YCO/ref=sr_1_58?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909410&sprefix=guiter%2Caps%2C678&sr=8-58
Medellin,"Medellin 38"" Acoustic Guitar Carbon Fiber body+(Free Online Learning Course) - Durable Matt finish with handrest","2,349",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Medellin-carbn-guitar-38inch-NATURAL/dp/B09MSHD6TS/ref=sr_1_59?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909410&sprefix=guiter%2Caps%2C678&sr=8-59
Kadence,Kadence Frontier Series,"4,999",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Strings/dp/B01CJJG328/ref=sr_1_60?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909410&sprefix=guiter%2Caps%2C678&sr=8-60
Blueberry,Blueberry VIP 300,"2,795",7 days Returnable,"Monday, 15 May",In stock,https://www.amazon.in/Blueberry-Acoustic-Guitar-String-Picks/dp/B0BVHZ8VXH/ref=sr_1_61?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909410&sprefix=guiter%2Caps%2C678&sr=8-61
FESTRA,Festra 38C,"2,560",7 days Replacement,"Monday, 15 May",In stock,https://www.amazon.in/Festra-38C-Acoustic-Strings-Natural/dp/B09JT6C952/ref=sr_1_62?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909410&sprefix=guiter%2Caps%2C678&sr=8-62
